nom_ree;ear_data;ear_max_ree;ear_verif_ree_mwmes;ear_verif_ree_percentual
BELO MONTE;2023-08-30;28.109;20.032;71.2654
IGUACU;2023-08-30;10324.672;9529.214;92.2956
MADEIRA;2023-08-30;313.73;158.946;50.6633
MANAUS-AMAPA;2023-08-30;785.737;564.114;71.7943
NORDESTE;2023-08-30;51691.226;38112.655;73.7314
NORTE;2023-08-30;14488.55;11924.084;82.3001
PARANA;2023-08-30;140595.976;112533.624;80.0404
PARANAPANEMA;2023-08-30;11832.754;9600.83;81.1377
SUDESTE;2023-08-30;50972.214;38741.994;76.0061
SUL;2023-08-30;10134.571;7782.191;76.7886
TELES PIRES;2023-08-30;900.655;578.887;64.274
BELO MONTE;2023-08-31;28.109;20.266;72.0979
IGUACU;2023-08-31;10324.672;9422.568;91.2626
MADEIRA;2023-08-31;313.73;157.82;50.3044
MANAUS-AMAPA;2023-08-31;785.737;558.736;71.1098
NORDESTE;2023-08-31;51691.226;37978.662;73.4722
NORTE;2023-08-31;14488.55;11897.928;82.1195
PARANA;2023-08-31;140595.976;112249.82;79.8386
PARANAPANEMA;2023-08-31;11832.754;9569.251;80.8709
SUDESTE;2023-08-31;50972.214;38688.019;75.9002
SUL;2023-08-31;10134.571;7670.468;75.6862
TELES PIRES;2023-08-31;900.655;574.144;63.7474
BELO MONTE;2023-09-01;28.109;20.386;72.5248
IGUACU;2023-09-01;10324.672;9338.373;90.4472
MADEIRA;2023-09-01;313.73;157.144;50.0889
MANAUS-AMAPA;2023-09-01;785.737;552.622;70.3317
NORDESTE;2023-09-01;51691.226;37868.886;73.2598
NORTE;2023-09-01;14488.55;11861.5;81.8681
PARANA;2023-09-01;140595.976;112003.32;79.6632
PARANAPANEMA;2023-09-01;11832.754;9532.045;80.5564
SUDESTE;2023-09-01;50972.214;38634.807;75.7958
SUL;2023-09-01;10134.571;7606.175;75.0518
TELES PIRES;2023-09-01;900.655;569.493;63.231
BELO MONTE;2023-09-02;28.109;20.386;72.5248
IGUACU;2023-09-02;10324.672;9295.542;90.0323
MADEIRA;2023-09-02;313.73;155.727;49.6373
MANAUS-AMAPA;2023-09-02;785.737;548.661;69.8276
NORDESTE;2023-09-02;51691.226;37747.362;73.0247
NORTE;2023-09-02;14488.55;11831.561;81.6615
PARANA;2023-09-02;140595.976;111956.738;79.6301
PARANAPANEMA;2023-09-02;11832.754;9525.639;80.5023
SUDESTE;2023-09-02;50972.214;38609.524;75.7462
SUL;2023-09-02;10134.571;7609.274;75.0823
TELES PIRES;2023-09-02;900.655;568.581;63.1297
BELO MONTE;2023-09-03;28.109;20.562;73.1509
IGUACU;2023-09-03;10324.672;9359.808;90.6548
MADEIRA;2023-09-03;313.73;152.687;48.6683
MANAUS-AMAPA;2023-09-03;785.737;545.032;69.3657
NORDESTE;2023-09-03;51691.226;37625.644;72.7892
NORTE;2023-09-03;14488.55;11796.728;81.421
PARANA;2023-09-03;140595.976;111823.31;79.5352
PARANAPANEMA;2023-09-03;11832.754;9534.064;80.5735
SUDESTE;2023-09-03;50972.214;38587.604;75.7032
SUL;2023-09-03;10134.571;7723.482;76.2093
TELES PIRES;2023-09-03;900.655;569.493;63.231
BELO MONTE;2023-09-04;28.109;20.562;73.1509
IGUACU;2023-09-04;10324.672;9336.419;90.4282
MADEIRA;2023-09-04;313.73;149.837;47.7599
MANAUS-AMAPA;2023-09-04;785.737;539.678;68.6843
NORDESTE;2023-09-04;51691.226;37499.924;72.546
NORTE;2023-09-04;14488.55;11759.423;81.1636
PARANA;2023-09-04;140595.976;111442.439;79.2643
PARANAPANEMA;2023-09-04;11832.754;9500.644;80.2911
SUDESTE;2023-09-04;50972.214;38531.492;75.5931
SUL;2023-09-04;10134.571;8495.095;83.8229
TELES PIRES;2023-09-04;900.655;560.105;62.1886
BELO MONTE;2023-09-05;28.109;20.386;72.5248
IGUACU;2023-09-05;10324.672;9346.261;90.5236
MADEIRA;2023-09-05;313.73;146.196;46.5993
MANAUS-AMAPA;2023-09-05;785.737;534.742;68.0561
NORDESTE;2023-09-05;51691.226;37350.6;72.2571
NORTE;2023-09-05;14488.55;11724.765;80.9244
PARANA;2023-09-05;140595.976;111092.498;79.0154
PARANAPANEMA;2023-09-05;11832.754;9475.236;80.0763
SUDESTE;2023-09-05;50972.214;38494.673;75.5209
SUL;2023-09-05;10134.571;8816.702;86.9963
TELES PIRES;2023-09-05;900.655;558.283;61.9863
BELO MONTE;2023-09-06;28.109;20.562;73.1509
IGUACU;2023-09-06;10324.672;9340.095;90.4638
MADEIRA;2023-09-06;313.73;143.846;45.8503
MANAUS-AMAPA;2023-09-06;785.737;529.4;67.3762
NORDESTE;2023-09-06;51691.226;37248.864;72.0603
NORTE;2023-09-06;14488.55;11687.316;80.6659
PARANA;2023-09-06;140595.976;110949.703;78.9139
PARANAPANEMA;2023-09-06;11832.754;9472.148;80.0502
SUDESTE;2023-09-06;50972.214;38442.031;75.4176
SUL;2023-09-06;10134.571;8952.071;88.332
TELES PIRES;2023-09-06;900.655;557.281;61.8751
BELO MONTE;2023-09-07;28.109;20.562;73.1509
IGUACU;2023-09-07;10324.672;9408.007;91.1216
MADEIRA;2023-09-07;313.73;142.537;45.433
MANAUS-AMAPA;2023-09-07;785.737;525.706;66.9061
NORDESTE;2023-09-07;51691.226;37150.005;71.8691
NORTE;2023-09-07;14488.55;11675.467;80.5841
PARANA;2023-09-07;140595.976;110879.014;78.8636
PARANAPANEMA;2023-09-07;11832.754;9500.559;80.2903
SUDESTE;2023-09-07;50972.214;38393.252;75.3219
SUL;2023-09-07;10134.571;8985.1;88.6579
TELES PIRES;2023-09-07;900.655;557.281;61.8751
BELO MONTE;2023-09-08;28.109;20.266;72.0979
IGUACU;2023-09-08;10324.672;9462.04;91.6449
MADEIRA;2023-09-08;313.73;141.411;45.0741
MANAUS-AMAPA;2023-09-08;785.737;520.949;66.3007
NORDESTE;2023-09-08;51691.226;37053.475;71.6823
NORTE;2023-09-08;14488.55;11667.436;80.5287
PARANA;2023-09-08;140595.976;110609.016;78.6715
PARANAPANEMA;2023-09-08;11832.754;9499.789;80.2838
SUDESTE;2023-09-08;50972.214;38343.4;75.2241
SUL;2023-09-08;10134.571;9042.842;89.2277
TELES PIRES;2023-09-08;900.655;552.636;61.3593
BELO MONTE;2023-09-09;28.109;20.09;71.4718
IGUACU;2023-09-09;10324.672;9562.017;92.6133
MADEIRA;2023-09-09;313.73;139.326;44.4095
MANAUS-AMAPA;2023-09-09;785.737;516.362;65.7169
NORDESTE;2023-09-09;51691.226;36959.273;71.5001
NORTE;2023-09-09;14488.55;11655.02;80.443
PARANA;2023-09-09;140595.976;110313.433;78.4613
PARANAPANEMA;2023-09-09;11832.754;9508.694;80.3591
SUDESTE;2023-09-09;50972.214;38287.574;75.1146
SUL;2023-09-09;10134.571;9113.594;89.9258
TELES PIRES;2023-09-09;900.655;551.725;61.2582
BELO MONTE;2023-09-10;28.109;19.915;70.8492
IGUACU;2023-09-10;10324.672;9640.848;93.3768
MADEIRA;2023-09-10;313.73;137.46;43.8147
MANAUS-AMAPA;2023-09-10;785.737;512.188;65.1857
NORDESTE;2023-09-10;51691.226;36868.61;71.3247
NORTE;2023-09-10;14488.55;11640.784;80.3447
PARANA;2023-09-10;140595.976;110241.908;78.4104
PARANAPANEMA;2023-09-10;11832.754;9512.915;80.3948
SUDESTE;2023-09-10;50972.214;38226.527;74.9948
SUL;2023-09-10;10134.571;9219.16;90.9674
TELES PIRES;2023-09-10;900.655;550.724;61.1471
BELO MONTE;2023-09-11;28.109;19.624;69.8139
IGUACU;2023-09-11;10324.672;9689.815;93.8511
MADEIRA;2023-09-11;313.73;136.036;43.3609
MANAUS-AMAPA;2023-09-11;785.737;505.895;64.3848
NORDESTE;2023-09-11;51691.226;36783.567;71.1602
NORTE;2023-09-11;14488.55;11610.369;80.1348
PARANA;2023-09-11;140595.976;109863.007;78.1409
PARANAPANEMA;2023-09-11;11832.754;9475.136;80.0755
SUDESTE;2023-09-11;50972.214;38107.316;74.761
SUL;2023-09-11;10134.571;9256.781;91.3387
TELES PIRES;2023-09-11;900.655;537.618;59.6919
BELO MONTE;2023-09-12;28.109;19.452;69.202
IGUACU;2023-09-12;10324.672;9671.744;93.676
MADEIRA;2023-09-12;313.73;133.941;42.6931
MANAUS-AMAPA;2023-09-12;785.737;500.345;63.6784
NORDESTE;2023-09-12;51691.226;36669.529;70.9396
NORTE;2023-09-12;14488.55;11578.87;79.9174
PARANA;2023-09-12;140595.976;109448.508;77.8461
PARANAPANEMA;2023-09-12;11832.754;9447.156;79.839
SUDESTE;2023-09-12;50972.214;37981.01;74.5132
SUL;2023-09-12;10134.571;9225.809;91.033
TELES PIRES;2023-09-12;900.655;536.708;59.5909
BELO MONTE;2023-09-13;28.109;19.278;68.583
IGUACU;2023-09-13;10324.672;9674.285;93.7007
MADEIRA;2023-09-13;313.73;131.754;41.996
MANAUS-AMAPA;2023-09-13;785.737;494.476;62.9315
NORDESTE;2023-09-13;51691.226;36560.246;70.7281
NORTE;2023-09-13;14488.55;11558.857;79.7793
PARANA;2023-09-13;140595.976;109015.174;77.5379
PARANAPANEMA;2023-09-13;11832.754;9414.359;79.5619
SUDESTE;2023-09-13;50972.214;37864.476;74.2845
SUL;2023-09-13;10134.571;9199.551;90.774
TELES PIRES;2023-09-13;900.655;534.889;59.3889
BELO MONTE;2023-09-14;28.109;19.107;67.9747
IGUACU;2023-09-14;10324.672;9727.713;94.2181
MADEIRA;2023-09-14;313.73;129.332;41.224
MANAUS-AMAPA;2023-09-14;785.737;488.616;62.1857
