nom_ree;ear_data;ear_max_ree;ear_verif_ree_mwmes;ear_verif_ree_percentual
NORTE;2023-09-25;14488.55;11041.79;76.2105
PARANA;2023-09-25;140595.976;104590.352;74.3907
PARANAPANEMA;2023-09-25;11832.754;8926.011;75.4348
SUDESTE;2023-09-25;50972.214;36545.085;71.6961
SUL;2023-09-25;10134.571;9159.117;90.375
TELES PIRES;2023-09-25;900.655;467.752;51.9346
BELO MONTE;2023-09-26;28.109;15.985;56.8679
IGUACU;2023-09-26;10324.672;9241.425;89.5082
MADEIRA;2023-09-26;313.73;102.746;32.7498
MANAUS-AMAPA;2023-09-26;785.737;446.701;56.8512
NORDESTE;2023-09-26;51691.226;35119.148;67.9402
NORTE;2023-09-26;14488.55;10919.778;75.3683
PARANA;2023-09-26;140595.976;104002.251;73.9724
PARANAPANEMA;2023-09-26;11832.754;8862.091;74.8946
SUDESTE;2023-09-26;50972.214;36398.349;71.4082
SUL;2023-09-26;10134.571;9182.804;90.6087
TELES PIRES;2023-09-26;900.655;454.727;50.4885
BELO MONTE;2023-09-27;28.109;15.731;55.9643
IGUACU;2023-09-27;10324.672;9173.841;88.8536
MADEIRA;2023-09-27;313.73;99.007;31.558
MANAUS-AMAPA;2023-09-27;785.737;440.669;56.0835
NORDESTE;2023-09-27;51691.226;35000.269;67.7103
NORTE;2023-09-27;14488.55;10783.079;74.4248
PARANA;2023-09-27;140595.976;103465.257;73.5905
PARANAPANEMA;2023-09-27;11832.754;8792.106;74.3031
SUDESTE;2023-09-27;50972.214;36263.974;71.1446
SUL;2023-09-27;10134.571;9290.273;91.6691
TELES PIRES;2023-09-27;900.655;437.02;48.5225
BELO MONTE;2023-09-28;28.109;15.43;54.8935
IGUACU;2023-09-28;10324.672;9108.628;88.222
MADEIRA;2023-09-28;313.73;96.548;30.7742
MANAUS-AMAPA;2023-09-28;785.737;436.411;55.5416
NORDESTE;2023-09-28;51691.226;34880.834;67.4792
NORTE;2023-09-28;14488.55;10665.603;73.614
PARANA;2023-09-28;140595.976;103219.563;73.4157
PARANAPANEMA;2023-09-28;11832.754;8728.548;73.766
SUDESTE;2023-09-28;50972.214;36122.598;70.8672
SUL;2023-09-28;10134.571;9377.754;92.5323
TELES PIRES;2023-09-28;900.655;418.527;46.4692
BELO MONTE;2023-09-29;28.109;15.133;53.8368
IGUACU;2023-09-29;10324.672;9043.863;87.5947
MADEIRA;2023-09-29;313.73;94.966;30.27
MANAUS-AMAPA;2023-09-29;785.737;432.078;54.9902
NORDESTE;2023-09-29;51691.226;34763.615;67.2524
NORTE;2023-09-29;14488.55;10618.569;73.2894
PARANA;2023-09-29;140595.976;102949.655;73.2238
PARANAPANEMA;2023-09-29;11832.754;8661.538;73.1997
SUDESTE;2023-09-29;50972.214;36015.22;70.6566
SUL;2023-09-29;10134.571;9407.025;92.8211
TELES PIRES;2023-09-29;900.655;413.841;45.9489
BELO MONTE;2023-09-30;28.109;14.89;52.9724
IGUACU;2023-09-30;10324.672;9034.329;87.5023
MADEIRA;2023-09-30;313.73;93.185;29.7023
MANAUS-AMAPA;2023-09-30;785.737;427.51;54.4088
NORDESTE;2023-09-30;51691.226;34646.945;67.0267
NORTE;2023-09-30;14488.55;10621.024;73.3063
PARANA;2023-09-30;140595.976;102868.82;73.1663
PARANAPANEMA;2023-09-30;11832.754;8648.888;73.0928
SUDESTE;2023-09-30;50972.214;35979.267;70.586
SUL;2023-09-30;10134.571;9419.358;92.9428
TELES PIRES;2023-09-30;900.655;413.841;45.9489
BELO MONTE;2023-10-01;28.109;14.601;51.9442
IGUACU;2023-10-01;10324.672;9008.756;87.2546
MADEIRA;2023-10-01;313.73;92.326;29.4285
MANAUS-AMAPA;2023-10-01;785.737;423.267;53.8688
NORDESTE;2023-10-01;51691.226;34557.828;66.8543
NORTE;2023-10-01;14488.55;10598.964;73.1541
PARANA;2023-10-01;140595.976;102757.751;73.0873
PARANAPANEMA;2023-10-01;11832.754;8647.14;73.078
SUDESTE;2023-10-01;50972.214;35979.545;70.5866
SUL;2023-10-01;10134.571;9443.138;93.1775
TELES PIRES;2023-10-01;900.655;410.147;45.5387
BELO MONTE;2023-10-02;28.109;14.313;50.9196
IGUACU;2023-10-02;10324.672;8931.772;86.509
MADEIRA;2023-10-02;313.73;91.517;29.1706
MANAUS-AMAPA;2023-10-02;785.737;417.35;53.1157
NORDESTE;2023-10-02;51691.226;34453.891;66.6533
NORTE;2023-10-02;14488.55;10538.281;72.7352
PARANA;2023-10-02;140595.976;102300.432;72.762
PARANAPANEMA;2023-10-02;11832.754;8593.163;72.6218
SUDESTE;2023-10-02;50972.214;35928.281;70.486
SUL;2023-10-02;10134.571;9400.779;92.7595
TELES PIRES;2023-10-02;900.655;389.806;43.2803
BELO MONTE;2023-10-03;28.109;14.032;49.92
IGUACU;2023-10-03;10324.672;8857.6;85.7906
MADEIRA;2023-10-03;313.73;89.865;28.6441
MANAUS-AMAPA;2023-10-03;785.737;411.841;52.4146
NORDESTE;2023-10-03;51691.226;34352.011;66.4562
NORTE;2023-10-03;14488.55;10463.665;72.2202
PARANA;2023-10-03;140595.976;102037.398;72.5749
PARANAPANEMA;2023-10-03;11832.754;8533.982;72.1217
SUDESTE;2023-10-03;50972.214;35843.901;70.3205
SUL;2023-10-03;10134.571;9245.847;91.2308
TELES PIRES;2023-10-03;900.655;378.751;42.0528
BELO MONTE;2023-10-04;28.109;13.705;48.7566
IGUACU;2023-10-04;10324.672;8895.961;86.1622
MADEIRA;2023-10-04;313.73;87.426;27.8666
MANAUS-AMAPA;2023-10-04;785.737;406.341;51.7146
NORDESTE;2023-10-04;51691.226;34252.337;66.2633
NORTE;2023-10-04;14488.55;10395.19;71.7476
PARANA;2023-10-04;140595.976;101796.935;72.4039
PARANAPANEMA;2023-10-04;11832.754;8474.647;71.6202
SUDESTE;2023-10-04;50972.214;35760.305;70.1565
SUL;2023-10-04;10134.571;9541.02;94.1433
TELES PIRES;2023-10-04;900.655;369.501;41.0258
BELO MONTE;2023-10-05;28.109;13.431;47.7818
IGUACU;2023-10-05;10324.672;9017.699;87.3413
MADEIRA;2023-10-05;313.73;84.497;26.933
MANAUS-AMAPA;2023-10-05;785.737;401.485;51.0966
NORDESTE;2023-10-05;51691.226;34108.581;65.9852
NORTE;2023-10-05;14488.55;10329.181;71.292
PARANA;2023-10-05;140595.976;101461.34;72.1652
PARANAPANEMA;2023-10-05;11832.754;8432.237;71.2618
SUDESTE;2023-10-05;50972.214;35720.232;70.0779
SUL;2023-10-05;10134.571;9538.314;94.1166
TELES PIRES;2023-10-05;900.655;358.464;39.8004
BELO MONTE;2023-10-06;28.109;13.069;46.494
IGUACU;2023-10-06;10324.672;9070.454;87.8522
MADEIRA;2023-10-06;313.73;81.761;26.0609
MANAUS-AMAPA;2023-10-06;785.737;397.35;50.5704
NORDESTE;2023-10-06;51691.226;33974.144;65.7252
NORTE;2023-10-06;14488.55;10273.536;70.908
PARANA;2023-10-06;140595.976;101088.755;71.9002
PARANAPANEMA;2023-10-06;11832.754;8392.397;70.9251
SUDESTE;2023-10-06;50972.214;35681.966;70.0028
SUL;2023-10-06;10134.571;9433.609;93.0835
TELES PIRES;2023-10-06;900.655;347.349;38.5663
BELO MONTE;2023-10-07;28.109;12.758;45.3876
IGUACU;2023-10-07;10324.672;9071.273;87.8602
MADEIRA;2023-10-07;313.73;79.682;25.3983
MANAUS-AMAPA;2023-10-07;785.737;391.95;49.8831
NORDESTE;2023-10-07;51691.226;33838.238;65.4622
NORTE;2023-10-07;14488.55;10187.558;70.3145
PARANA;2023-10-07;140595.976;100932.805;71.7893
PARANAPANEMA;2023-10-07;11832.754;8415.221;71.118
SUDESTE;2023-10-07;50972.214;35657.76;69.9553
SUL;2023-10-07;10134.571;9748.135;96.187
TELES PIRES;2023-10-07;900.655;345.557;38.3673
BELO MONTE;2023-10-08;28.109;12.408;44.1424
IGUACU;2023-10-08;10324.672;9086.196;88.0047
MADEIRA;2023-10-08;313.73;77.991;24.8593
MANAUS-AMAPA;2023-10-08;785.737;386.795;49.227
NORDESTE;2023-10-08;51691.226;33713.97;65.2218
NORTE;2023-10-08;14488.55;10148.642;70.0459
PARANA;2023-10-08;140595.976;100944.22;71.7974
PARANAPANEMA;2023-10-08;11832.754;8547.775;72.2383
SUDESTE;2023-10-08;50972.214;35700.287;70.0387
SUL;2023-10-08;10134.571;9691.944;95.6325
TELES PIRES;2023-10-08;900.655;343.676;38.1585
BELO MONTE;2023-10-09;28.109;12.062;42.9115
IGUACU;2023-10-09;10324.672;8991.737;87.0898
MADEIRA;2023-10-09;313.73;75.655;24.1147
MANAUS-AMAPA;2023-10-09;785.737;382.36;48.6626
NORDESTE;2023-10-09;51691.226;33578.274;64.9593
NORTE;2023-10-09;14488.55;10080.291;69.5742
PARANA;2023-10-09;140595.976;100703.342;71.626
PARANAPANEMA;2023-10-09;11832.754;8687.9;73.4225
SUDESTE;2023-10-09;50972.214;35699.369;70.0369
SUL;2023-10-09;10134.571;9741.923;96.1257
TELES PIRES;2023-10-09;900.655;341.885;37.9596
BELO MONTE;2023-10-10;28.109;11.723;41.7055
IGUACU;2023-10-10;10324.672;8879.639;86.0041
MADEIRA;2023-10-10;313.73;73.436;23.4074
MANAUS-AMAPA;2023-10-10;785.737;375.085;47.7367
NORDESTE;2023-10-10;51691.226;33442.169;64.696
NORTE;2023-10-10;14488.55;10028.514;69.2168
PARANA;2023-10-10;140595.976;100626.694;71.5715
PARANAPANEMA;2023-10-10;11832.754;8797.848;74.3517
SUDESTE;2023-10-10;50972.214;35671.264;69.9818
SUL;2023-10-10;10134.571;9599.613;94.7215
TELES PIRES;2023-10-10;900.655;342.781;38.0591
BELO MONTE;2023-10-11;28.109;11.347;40.3679
IGUACU;2023-10-11;10324.672;8831.553;85.5383
MADEIRA;2023-10-11;313.73;71.213;22.6988
MANAUS-AMAPA;2023-10-11;785.737;369.165;46.9833
NORDESTE;2023-10-11;51691.226;33295.891;64.413
NORTE;2023-10-11;14488.55;9967.429;68.7952
PARANA;2023-10-11;140595.976;100367.604;71.3873
PARANAPANEMA;2023-10-11;11832.754;8858.386;74.8633
SUDESTE;2023-10-11;50972.214;35610.622;69.8628
SUL;2023-10-11;10134.571;9448.035;93.2258
TELES PIRES;2023-10-11;900.655;341.885;37.9596
BELO MONTE;2023-10-12;28.109;11.142;39.6385
IGUACU;2023-10-12;10324.672;8858.207;85.7965
MADEIRA;2023-10-12;313.73;70.137;22.3558
MANAUS-AMAPA;2023-10-12;785.737;364.2;46.3514
NORDESTE;2023-10-12;51691.226;33199.274;64.2261
NORTE;2023-10-12;14488.55;9926.93;68.5157
PARANA;2023-10-12;140595.976;100341.7;71.3688
PARANAPANEMA;2023-10-12;11832.754;8937.011;75.5277
SUDESTE;2023-10-12;50972.214;35569.975;69.7831
SUL;2023-10-12;10134.571;9720.659;95.9158
TELES PIRES;2023-10-12;900.655;340.99;37.8602
BELO MONTE;2023-10-13;28.109;10.939;38.9164
IGUACU;2023-10-13;10324.672;8784.382;85.0815
MADEIRA;2023-10-13;313.73;69.062;22.0132
MANAUS-AMAPA;2023-10-13;785.737;359.162;45.7102
NORDESTE;2023-10-13;51691.226;33085.739;64.0065
NORTE;2023-10-13;14488.55;9862.024;68.0677
PARANA;2023-10-13;140595.976;100230.801;71.29
PARANAPANEMA;2023-10-13;11832.754;8954.963;75.6794
SUDESTE;2023-10-13;50972.214;35520.865;69.6867
SUL;2023-10-13;10134.571;9885.794;97.5453
TELES PIRES;2023-10-13;900.655;339.109;37.6514
BELO MONTE;2023-10-14;28.109;10.699;38.0625
IGUACU;2023-10-14;10324.672;8718.197;84.4404
MADEIRA;2023-10-14;313.73;68.449;21.8178
MANAUS-AMAPA;2023-10-14;785.737;356.411;45.3601
NORDESTE;2023-10-14;51691.226;33003.215;63.8468
NORTE;2023-10-14;14488.55;9814.698;67.7411
PARANA;2023-10-14;140595.976;100342.426;71.3693
PARANAPANEMA;2023-10-14;11832.754;8996.079;76.0269
SUDESTE;2023-10-14;50972.214;35494.075;69.6342
SUL;2023-10-14;10134.571;9866.819;97.358
TELES PIRES;2023-10-14;900.655;338.214;37.552
BELO MONTE;2023-10-15;28.109;10.5;37.3546
IGUACU;2023-10-15;10324.672;8579.082;83.093
MADEIRA;2023-10-15;313.73;67.764;21.5995
MANAUS-AMAPA;2023-10-15;785.737;355.153;45.2
NORDESTE;2023-10-15;51691.226;32914.407;63.675
NORTE;2023-10-15;14488.55;9795.901;67.6113
PARANA;2023-10-15;140595.976;100409.151;71.4168
PARANAPANEMA;2023-10-15;11832.754;9049.307;76.4768
SUDESTE;2023-10-15;50972.214;35498.28;69.6424
SUL;2023-10-15;10134.571;9807.836;96.776
TELES PIRES;2023-10-15;900.655;339.109;37.6514
BELO MONTE;2023-10-16;28.109;10.383;36.9383
IGUACU;2023-10-16;10324.672;8480.573;82.1389
MADEIRA;2023-10-16;313.73;67.137;21.3996
MANAUS-AMAPA;2023-10-16;785.737;353.897;45.0401
NORDESTE;2023-10-16;51691.226;32821.566;63.4954
NORTE;2023-10-16;14488.55;9717.406;67.0696
PARANA;2023-10-16;140595.976;100011.265;71.1338
PARANAPANEMA;2023-10-16;11832.754;9087.627;76.8006
SUDESTE;2023-10-16;50972.214;35455.961;69.5594
SUL;2023-10-16;10134.571;9757.587;96.2802
TELES PIRES;2023-10-16;900.655;342.781;38.0591
BELO MONTE;2023-10-17;28.109;10.226;36.3798
IGUACU;2023-10-17;10324.672;8546.005;82.7727
MADEIRA;2023-10-17;313.73;66.438;21.1768
MANAUS-AMAPA;2023-10-17;785.737;350.678;44.6305
NORDESTE;2023-10-17;51691.226;32707.283;63.2743
NORTE;2023-10-17;14488.55;9638.703;66.5263
PARANA;2023-10-17;140595.976;99716.216;70.9239
PARANAPANEMA;2023-10-17;11832.754;9123.487;77.1037
SUDESTE;2023-10-17;50972.214;35423.959;69.4966
SUL;2023-10-17;10134.571;9858.704;97.278
TELES PIRES;2023-10-17;900.655;340.99;37.8602
BELO MONTE;2023-10-18;28.109;10.072;35.8319
IGUACU;2023-10-18;10324.672;8578.29;83.0854
MADEIRA;2023-10-18;313.73;65.74;20.9543
MANAUS-AMAPA;2023-10-18;785.737;348.795;44.3908
NORDESTE;2023-10-18;51691.226;32600.834;63.0684
NORTE;2023-10-18;14488.55;9535.365;65.8131
PARANA;2023-10-18;140595.976;99425.643;70.7173
PARANAPANEMA;2023-10-18;11832.754;9176.807;77.5543
SUDESTE;2023-10-18;50972.214;35371.249;69.3932
SUL;2023-10-18;10134.571;9766.347;96.3667
TELES PIRES;2023-10-18;900.655;333.56;37.0353
BELO MONTE;2023-10-19;28.109;9.918;35.2841
IGUACU;2023-10-19;10324.672;8595.295;83.2501
MADEIRA;2023-10-19;313.73;64.827;20.6633
MANAUS-AMAPA;2023-10-19;785.737;345.268;43.9419
NORDESTE;2023-10-19;51691.226;32487.919;62.85
NORTE;2023-10-19;14488.55;9442.955;65.1753
PARANA;2023-10-19;140595.976;99186.883;70.5475
PARANAPANEMA;2023-10-19;11832.754;9254.979;78.2149
SUDESTE;2023-10-19;50972.214;35331.31;69.3148
SUL;2023-10-19;10134.571;9602.973;94.7546
TELES PIRES;2023-10-19;900.655;320.682;35.6054
BELO MONTE;2023-10-20;28.109;9.803;34.875
IGUACU;2023-10-20;10324.672;8591.158;83.21
MADEIRA;2023-10-20;313.73;63.89;20.3646
MANAUS-AMAPA;2023-10-20;785.737;340.414;43.3242
NORDESTE;2023-10-20;51691.226;32384.409;62.6497
NORTE;2023-10-20;14488.55;9395.436;64.8473
PARANA;2023-10-20;140595.976;99039.032;70.4423
PARANAPANEMA;2023-10-20;11832.754;9345.711;78.9817
SUDESTE;2023-10-20;50972.214;35275.867;69.2061
SUL;2023-10-20;10134.571;9576.913;94.4975
TELES PIRES;2023-10-20;900.655;317.018;35.1986
BELO MONTE;2023-10-21;28.109;9.614;34.2026
IGUACU;2023-10-21;10324.672;8578.315;83.0856
MADEIRA;2023-10-21;313.73;62.652;19.97
MANAUS-AMAPA;2023-10-21;785.737;337.052;42.8963
NORDESTE;2023-10-21;51691.226;32276.589;62.4411
NORTE;2023-10-21;14488.55;9366.219;64.6457
PARANA;2023-10-21;140595.976;98928.425;70.3636
PARANAPANEMA;2023-10-21;11832.754;9407.602;79.5048
SUDESTE;2023-10-21;50972.214;35227.427;69.111
SUL;2023-10-21;10134.571;9487.613;93.6163
TELES PIRES;2023-10-21;900.655;311.569;34.5936
BELO MONTE;2023-10-22;28.109;9.428;33.5409
IGUACU;2023-10-22;10324.672;8538.754;82.7024
MADEIRA;2023-10-22;313.73;61.488;19.599
MANAUS-AMAPA;2023-10-22;785.737;335.489;42.6974
NORDESTE;2023-10-22;51691.226;32179.439;62.2532
NORTE;2023-10-22;14488.55;9317.765;64.3112
PARANA;2023-10-22;140595.976;98822.209;70.2881
PARANAPANEMA;2023-10-22;11832.754;9480.021;80.1168
SUDESTE;2023-10-22;50972.214;35164.923;68.9884
SUL;2023-10-22;10134.571;9497.069;93.7096
TELES PIRES;2023-10-22;900.655;306.926;34.0781
BELO MONTE;2023-10-23;28.109;9.243;32.8827
IGUACU;2023-10-23;10324.672;8497.345;82.3014
MADEIRA;2023-10-23;313.73;60.199;19.1882
MANAUS-AMAPA;2023-10-23;785.737;334.629;42.5879
NORDESTE;2023-10-23;51691.226;32084.336;62.0692
NORTE;2023-10-23;14488.55;9251.667;63.855
PARANA;2023-10-23;140595.976;98453.163;70.0256
PARANAPANEMA;2023-10-23;11832.754;9482.419;80.137
SUDESTE;2023-10-23;50972.214;35085.412;68.8324
SUL;2023-10-23;10134.571;9498.83;93.727
TELES PIRES;2023-10-23;900.655;291.316;32.3449
BELO MONTE;2023-10-24;28.109;9.096;32.3597
IGUACU;2023-10-24;10324.672;8423.018;81.5815
MADEIRA;2023-10-24;313.73;58.323;18.5902
MANAUS-AMAPA;2023-10-24;785.737;332.443;42.3097
NORDESTE;2023-10-24;51691.226;31941.175;61.7923
NORTE;2023-10-24;14488.55;9167.007;63.2707
PARANA;2023-10-24;140595.976;97933.349;69.6559
PARANAPANEMA;2023-10-24;11832.754;9492.388;80.2213
SUDESTE;2023-10-24;50972.214;34973.914;68.6137
SUL;2023-10-24;10134.571;9433.775;93.0851
TELES PIRES;2023-10-24;900.655;277.599;30.8219
BELO MONTE;2023-10-25;28.109;8.877;31.5806
IGUACU;2023-10-25;10324.672;8339.58;80.7733
MADEIRA;2023-10-25;313.73;56.618;18.0467
MANAUS-AMAPA;2023-10-25;785.737;329.166;41.8926
NORDESTE;2023-10-25;51691.226;31796.968;61.5133
NORTE;2023-10-25;14488.55;9036.578;62.3705
PARANA;2023-10-25;140595.976;97294.268;69.2013
PARANAPANEMA;2023-10-25;11832.754;9497.037;80.2606
SUDESTE;2023-10-25;50972.214;34865.818;68.4016
SUL;2023-10-25;10134.571;9388.031;92.6337
TELES PIRES;2023-10-25;900.655;259.368;28.7977
BELO MONTE;2023-10-26;28.109;8.807;31.3316
IGUACU;2023-10-26;10324.672;8263.823;80.0396
MADEIRA;2023-10-26;313.73;55.368;17.6483
MANAUS-AMAPA;2023-10-26;785.737;325.503;41.4265
NORDESTE;2023-10-26;51691.226;31640.469;61.2105
NORTE;2023-10-26;14488.55;8902.736;61.4467
PARANA;2023-10-26;140595.976;96847.509;68.8836
PARANAPANEMA;2023-10-26;11832.754;9497.119;80.2613
SUDESTE;2023-10-26;50972.214;34749.768;68.1739
SUL;2023-10-26;10134.571;9344.219;92.2014
TELES PIRES;2023-10-26;900.655;246.581;27.378
BELO MONTE;2023-10-27;28.109;8.769;31.1964
IGUACU;2023-10-27;10324.672;8171.307;79.1435
MADEIRA;2023-10-27;313.73;54.77;17.4577
MANAUS-AMAPA;2023-10-27;785.737;322.777;41.0795
NORDESTE;2023-10-27;51691.226;31488.286;60.9161
NORTE;2023-10-27;14488.55;8802.817;60.7571
PARANA;2023-10-27;140595.976;96547.752;68.6704
PARANAPANEMA;2023-10-27;11832.754;9487.798;80.1825
SUDESTE;2023-10-27;50972.214;34642.428;67.9634
SUL;2023-10-27;10134.571;9254.502;91.3162
TELES PIRES;2023-10-27;900.655;240.193;26.6687
BELO MONTE;2023-10-28;28.109;8.734;31.0719
IGUACU;2023-10-28;10324.672;8319.414;80.578
MADEIRA;2023-10-28;313.73;54.54;17.3844
MANAUS-AMAPA;2023-10-28;785.737;318.265;40.5053
NORDESTE;2023-10-28;51691.226;31333.546;60.6168
NORTE;2023-10-28;14488.55;8753.813;60.4188
PARANA;2023-10-28;140595.976;96651.216;68.7439
PARANAPANEMA;2023-10-28;11832.754;9524.13;80.4895
SUDESTE;2023-10-28;50972.214;34584.832;67.8504
SUL;2023-10-28;10134.571;9264.115;91.411
TELES PIRES;2023-10-28;900.655;235.672;26.1667
BELO MONTE;2023-10-29;28.109;8.699;30.9474
IGUACU;2023-10-29;10324.672;8628.82;83.5748
MADEIRA;2023-10-29;313.73;53.476;17.0452
MANAUS-AMAPA;2023-10-29;785.737;313.526;39.9022
NORDESTE;2023-10-29;51691.226;31228.46;60.4135
NORTE;2023-10-29;14488.55;8724.69;60.2178
PARANA;2023-10-29;140595.976;96609.237;68.7141
PARANAPANEMA;2023-10-29;11832.754;9594.346;81.0829
SUDESTE;2023-10-29;50972.214;34590.26;67.861
SUL;2023-10-29;10134.571;9407.144;92.8223
TELES PIRES;2023-10-29;900.655;231.063;25.655
BELO MONTE;2023-10-30;28.109;8.626;30.6877
IGUACU;2023-10-30;10324.672;8665.705;83.932
MADEIRA;2023-10-30;313.73;52.111;16.6101
MANAUS-AMAPA;2023-10-30;785.737;307.244;39.1027
NORDESTE;2023-10-30;51691.226;31109.776;60.1839
NORTE;2023-10-30;14488.55;8653.969;59.7297
PARANA;2023-10-30;140595.976;96280.556;68.4803
PARANAPANEMA;2023-10-30;11832.754;9704.867;82.017
SUDESTE;2023-10-30;50972.214;34528.558;67.74
SUL;2023-10-30;10134.571;9496.052;93.6996
TELES PIRES;2023-10-30;900.655;209.204;23.228
BELO MONTE;2023-10-31;28.109;8.626;30.6877
IGUACU;2023-10-31;10324.672;8638.244;83.666
MADEIRA;2023-10-31;313.73;50.527;16.1052
MANAUS-AMAPA;2023-10-31;785.737;301.051;38.3145
NORDESTE;2023-10-31;51691.226;30999.969;59.9714
NORTE;2023-10-31;14488.55;8563.526;59.1055
PARANA;2023-10-31;140595.976;95959.571;68.252
PARANAPANEMA;2023-10-31;11832.754;9870.017;83.4127
SUDESTE;2023-10-31;50972.214;34448.008;67.5819
SUL;2023-10-31;10134.571;9464.6;93.3893
TELES PIRES;2023-10-31;900.655;204.697;22.7276
BELO MONTE;2023-11-01;28.109;8.591;30.5632
IGUACU;2023-11-01;10324.672;8519.671;82.5176
MADEIRA;2023-11-01;313.73;48.793;15.5525
MANAUS-AMAPA;2023-11-01;785.737;296.49;37.734
NORDESTE;2023-11-01;51691.226;30911.125;59.7996
NORTE;2023-11-01;14488.55;8474.286;58.4895
PARANA;2023-11-01;140595.976;95682.975;68.0553
PARANAPANEMA;2023-11-01;11832.754;9959.552;84.1693
SUDESTE;2023-11-01;50972.214;34387.512;67.4632
SUL;2023-11-01;10134.571;9409.1;92.8416
TELES PIRES;2023-11-01;900.655;201.959;22.4236
BELO MONTE;2023-11-02;28.109;8.521;30.3141
IGUACU;2023-11-02;10324.672;8453.536;81.877
MADEIRA;2023-11-02;313.73;47.06;15.0002
MANAUS-AMAPA;2023-11-02;785.737;293.402;37.341
NORDESTE;2023-11-02;51691.226;30826.43;59.6357
NORTE;2023-11-02;14488.55;8388.43;57.897
PARANA;2023-11-02;140595.976;95734.048;68.0916
PARANAPANEMA;2023-11-02;11832.754;9999.634;84.5081
SUDESTE;2023-11-02;50972.214;34346.297;67.3824
SUL;2023-11-02;10134.571;9418.768;92.937
TELES PIRES;2023-11-02;900.655;201.075;22.3254
BELO MONTE;2023-11-03;28.109;8.626;30.6877
IGUACU;2023-11-03;10324.672;8692.994;84.1963
MADEIRA;2023-11-03;313.73;44.392;14.1497
MANAUS-AMAPA;2023-11-03;785.737;289.006;36.7815
NORDESTE;2023-11-03;51691.226;30755.502;59.4985
NORTE;2023-11-03;14488.55;8328.482;57.4832
PARANA;2023-11-03;140595.976;95446.486;67.8871
PARANAPANEMA;2023-11-03;11832.754;9955.69;84.1367
SUDESTE;2023-11-03;50972.214;34301.708;67.2949
SUL;2023-11-03;10134.571;9620.885;94.9313
TELES PIRES;2023-11-03;900.655;200.192;22.2274
BELO MONTE;2023-11-04;28.109;8.699;30.9474
IGUACU;2023-11-04;10324.672;8801.206;85.2444
MADEIRA;2023-11-04;313.73;42.471;13.5374
MANAUS-AMAPA;2023-11-04;785.737;284.616;36.2228
NORDESTE;2023-11-04;51691.226;30694.618;59.3807
NORTE;2023-11-04;14488.55;8254.873;56.9751
PARANA;2023-11-04;140595.976;95500.15;67.9252
PARANAPANEMA;2023-11-04;11832.754;9923.266;83.8627
SUDESTE;2023-11-04;50972.214;34261.076;67.2152
SUL;2023-11-04;10134.571;9776.631;96.4681
TELES PIRES;2023-11-04;900.655;202.93;22.5314
BELO MONTE;2023-11-05;28.109;8.807;31.3316
IGUACU;2023-11-05;10324.672;8853.421;85.7501
MADEIRA;2023-11-05;313.73;41.221;13.139
MANAUS-AMAPA;2023-11-05;785.737;282.616;35.9683
NORDESTE;2023-11-05;51691.226;30641.722;59.2784
NORTE;2023-11-05;14488.55;8182.36;56.4747
PARANA;2023-11-05;140595.976;95583.396;67.9844
PARANAPANEMA;2023-11-05;11832.754;9925.638;83.8827
SUDESTE;2023-11-05;50972.214;34235.369;67.1648
SUL;2023-11-05;10134.571;9757.567;96.28
TELES PIRES;2023-11-05;900.655;205.581;22.8257
BELO MONTE;2023-11-06;28.109;8.915;31.7158
IGUACU;2023-11-06;10324.672;8847.314;85.691
MADEIRA;2023-11-06;313.73;39.675;12.6462
MANAUS-AMAPA;2023-11-06;785.737;279.694;35.5964
NORDESTE;2023-11-06;51691.226;30579.577;59.1582
NORTE;2023-11-06;14488.55;8123.486;56.0683
PARANA;2023-11-06;140595.976;95438.511;67.8814
PARANAPANEMA;2023-11-06;11832.754;9928.364;83.9058
SUDESTE;2023-11-06;50972.214;34169.285;67.0351
SUL;2023-11-06;10134.571;9759.968;96.3037
TELES PIRES;2023-11-06;900.655;208.32;23.1298
BELO MONTE;2023-11-07;28.109;8.915;31.7158
IGUACU;2023-11-07;10324.672;8796.621;85.2
MADEIRA;2023-11-07;313.73;38.385;12.235
MANAUS-AMAPA;2023-11-07;785.737;279.694;35.5964
NORDESTE;2023-11-07;51691.226;30553.752;59.1082
NORTE;2023-11-07;14488.55;8070.337;55.7015
PARANA;2023-11-07;140595.976;95297.026;67.7808
PARANAPANEMA;2023-11-07;11832.754;9945.566;84.0512
SUDESTE;2023-11-07;50972.214;34110.994;66.9208
SUL;2023-11-07;10134.571;9753.084;96.2358
TELES PIRES;2023-11-07;900.655;210.177;23.336
BELO MONTE;2023-11-08;28.109;9.023;32.1
IGUACU;2023-11-08;10324.672;8711.45;84.3751
MADEIRA;2023-11-08;313.73;37.375;11.9131
MANAUS-AMAPA;2023-11-08;785.737;278.542;35.4498
NORDESTE;2023-11-08;51691.226;30526.547;59.0556
NORTE;2023-11-08;14488.55;8013.48;55.3091
PARANA;2023-11-08;140595.976;95037.152;67.5959
PARANAPANEMA;2023-11-08;11832.754;9935.158;83.9632
SUDESTE;2023-11-08;50972.214;34030.63;66.7631
SUL;2023-11-08;10134.571;9708.75;95.7983
TELES PIRES;2023-11-08;900.655;210.177;23.336
BELO MONTE;2023-11-09;28.109;8.807;31.3316
IGUACU;2023-11-09;10324.672;8597.869;83.275
