dat_iniciosemana;dat_fimsemana;ano_referencia;mes_referencia;num_revisao;nom_semanaoperativa;cod_modelos;id_subsistema;nom_subsistema;nom_usina;val_cvu
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;203;N;NORTE;C. ROCHA;0.00
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;207;N;NORTE;PONTA NEGR;0.00
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;209;N;NORTE;TAMBAQUI;0.00
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;204;N;NORTE;JARAQUI;0.00
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;205;N;NORTE;MANAUARA;0.00
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;212;N;NORTE;MARANHAO3;94.86
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;116;N;NORTE;PARNAIB_IV;151.69
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;201;N;NORTE;APARECIDA;164.07
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;140;N;NORTE;UTE MAUA 3;164.07
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;447;N;NORTE;N.VEN2_L7;257.06
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;446;N;NORTE;N.VEN2_L22;257.06
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;437;N;NORTE;MARANIVL_7;340.72
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;422;N;NORTE;MARAN_VL_7;340.72
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;421;N;NORTE;MARAN_VL22;340.73
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;436;N;NORTE;MARANIVL22;340.73
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;176;N;NORTE;P. ITAQUI;479.77
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;70;N;NORTE;GERAMAR2;1135.76
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;73;N;NORTE;GERAMAR1;1135.76
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;127;NE;NORDESTE;IGUATU;0.00
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;119;NE;NORDESTE;CAUCAIA;0.00
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;111;NE;NORDESTE;ARACATI;0.00
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;109;NE;NORDESTE;ALTOS;0.00
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;121;NE;NORDESTE;CRATO;0.00
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;125;NE;NORDESTE;PECEM;0.00
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;135;NE;NORDESTE;MARAMBAIA;0.00
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;133;NE;NORDESTE;JUAZEIRO N;0.00
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;138;NE;NORDESTE;NAZARIA;0.00
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;117;NE;NORDESTE;C.MAIOR;0.00
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;113;NE;NORDESTE;BATURITE;0.00
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;106;NE;NORDESTE;ERB CANDEI;97.18
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;147;NE;NORDESTE;PROSPERIDA;183.28
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;96;NE;NORDESTE;TERMOPE;183.74
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;42;NE;NORDESTE;FORTALEZA;254.96
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;224;NE;NORDESTE;PSERGIPE I;373.60
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;58;NE;NORDESTE;TERMOCEARA;433.83
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;163;NE;NORDESTE;P.PECEM2;487.53
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;167;NE;NORDESTE;P.PECEM1;491.54
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;221;NE;NORDESTE;SYKUE I;510.12
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;98;NE;NORDESTE;PERNAMBU_3;981.99
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;57;NE;NORDESTE;MARACANAU;1106.44
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;152;NE;NORDESTE;TERMOCABO;1121.77
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;67;NE;NORDESTE;TERMONE;1124.80
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;69;NE;NORDESTE;TERMOPB;1124.80
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;52;NE;NORDESTE;CAMPINA_GR;1135.80
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;170;NE;NORDESTE;SUAPE II;1165.35
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;55;NE;NORDESTE;GLOBAL II;1286.43
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;53;NE;NORDESTE;GLOBAL I;1286.43
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;112;NE;NORDESTE;BAHIA_1;1488.94
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;166;NE;NORDESTE;AREMBEPE;1834.28
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;164;NE;NORDESTE;MURICY;1834.28
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;83;NE;NORDESTE;JS_PEREIRA;2009.81
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;144;NE;NORDESTE;PETROLINA;2012.45
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;161;NE;NORDESTE;POTIGUAR_3;2030.27
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;151;NE;NORDESTE;POTIGUAR;2030.29
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;43;NE;NORDESTE;C.FURTADO;2088.40
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;159;NE;NORDESTE;TERMOMANAU;2274.38
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;160;NE;NORDESTE;PAU FERRO;2274.38
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;35;S;SUL;URUGUAIANA;0.00
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;107;S;SUL;PAMPA SUL;77.19
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;156;S;SUL;CANDIOTA_3;93.84
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;149;S;SUL;SAO SEPE;97.11
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;24;S;SUL;J.LACER. C;229.27
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;25;S;SUL;J.LACER. B;271.21
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;27;S;SUL;J.LAC. A2;278.38
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;26;S;SUL;J.LAC. A1;304.61
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;169;S;SUL;MADEIRA;336.06
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;28;S;SUL;FIGUEIRA;475.68
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;64;S;SUL;S.TIARAJU;698.14
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;48;S;SUL;ARAUCARIA;706.35
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;434;SE;SUDESTE;W.ARJONA O;0.00
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;334;SE;SUDESTE;W.ARJONA;0.00
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;65;SE;SUDESTE;ATLAN_CSA;0.00
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;13;SE;SUDESTE;ANGRA 2;20.12
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;1;SE;SUDESTE;ANGRA 1;31.17
2022-01-01;2022-01-07;2022;1;0;PMO Janeiro 2022;171;SE;SUDESTE;NORTEFLU 1;102.68
