nom_reservatorioee;ena_data;ena_bruta_ree_mwmed;ena_bruta_ree_percentualmlt;ena_armazenavel_ree_mwmed;ena_armazenavel_ree_percentualmlt
BELO MONTE;2022-01-01;9536.362;169.4071;9508.154999999999;168.906
IGUACU;2022-01-01;910.697;22.1313;707.6310000000001;17.1965
ITAIPU;2022-01-01;2231.368568;66.3687;2231.368568;66.3687
MADEIRA;2022-01-01;7999.2429999999995;97.671;7271.603999999999;88.7865
MANAUS-AMAPA;2022-01-01;772.978;157.0852;668.689;135.8915
NORDESTE;2022-01-01;15654.644;115.8604;13920.162999999999;103.0235
NORTE;2022-01-01;17462.296;184.3314;15347.020999999999;162.0027
PARANA;2022-01-01;22080.204248000002;59.7432;22061.085248000003;59.6915
PARANAPANEMA;2022-01-01;1380.928184;37.8167;1380.9281839999999;37.8167
SUDESTE;2022-01-01;19991.993000000002;194.1293;14148.413999999999;137.3861
SUL;2022-01-01;706.2049999999998;21.0122;452.91999999999996;13.476
TELES PIRES;2022-01-01;4342.971;129.9248;2927.967;87.5934
BELO MONTE;2022-01-02;10012.716;177.8692;9880.032;175.5121
IGUACU;2022-01-02;907.3380000000002;22.0497;794.9920000000001;19.3195
ITAIPU;2022-01-02;2279.761224;67.808;2279.761224;67.808
MADEIRA;2022-01-02;7889.032;96.3254;7441.714;90.8636
MANAUS-AMAPA;2022-01-02;820.0649999999999;166.6542;667.722;135.695
NORDESTE;2022-01-02;15734.071999999998;116.4483;14337.644000000002;106.1133
NORTE;2022-01-02;18713.522;197.5393;16714.719;176.44
PARANA;2022-01-02;24039.09870000001;65.0435;24023.54770000001;65.0014
PARANAPANEMA;2022-01-02;1311.598076;35.9181;1311.598076;35.9181
SUDESTE;2022-01-02;21264.884;206.4895;15549.562;150.9917
SUL;2022-01-02;702.3820000000001;20.8984;454.68300000000005;13.5285
TELES PIRES;2022-01-02;4447.7;133.0579;3221.205;96.3659
BELO MONTE;2022-01-03;10513.851999999999;186.7715;10216.107;181.4823
IGUACU;2022-01-03;946.8699999999999;23.0104;907.4449999999999;22.0523
ITAIPU;2022-01-03;2223.2041000000004;66.1258;2223.2041000000004;66.1258
MADEIRA;2022-01-03;7747.227000000001;94.5939;7688.344;93.8749
MANAUS-AMAPA;2022-01-03;897.8639999999999;182.4646;644.5139999999999;130.9786
NORDESTE;2022-01-03;16008.258;118.4775;14734.585000000003;109.051
NORTE;2022-01-03;19797.075;208.9773;16849.372;177.8614
PARANA;2022-01-03;26014.125064000003;70.3874;25995.663063999997;70.3375
PARANAPANEMA;2022-01-03;1257.460836;34.4356;1255.9148360000002;34.3933
SUDESTE;2022-01-03;20310.126000000004;197.2185;14638.277999999998;142.1428
SUL;2022-01-03;735.844;21.894;562.1580000000001;16.7262
TELES PIRES;2022-01-03;4652.793;139.1935;3615.532;108.1627
BELO MONTE;2022-01-04;11010.966;195.6024;10699.223;190.0645
IGUACU;2022-01-04;1002.386;24.3595;960.7220000000001;23.347
ITAIPU;2022-01-04;2177.341712;64.7617;2177.341712;64.7617
MADEIRA;2022-01-04;7538.0019999999995;92.0393;7469.3589999999995;91.2011
MANAUS-AMAPA;2022-01-04;962.3570000000001;195.5709;623.048;126.6163
NORDESTE;2022-01-04;15922.681;117.8442;14684.507999999998;108.6804
NORTE;2022-01-04;20553.438000000002;216.9614;15728.806;166.0328
PARANA;2022-01-04;27500.037436;74.4079;27489.315436;74.3789
PARANAPANEMA;2022-01-04;1244.421852;34.0785;1244.421852;34.0785
SUDESTE;2022-01-04;22554.109999999997;219.0084;16894.555;164.0521
SUL;2022-01-04;817.199;24.3146;673.5269999999999;20.0399
TELES PIRES;2022-01-04;4842.095;144.8567;3675.738;109.9638
BELO MONTE;2022-01-05;11467.2;203.7071;11153.599999999999;198.1362
IGUACU;2022-01-05;1033.334;25.1116;992.7710000000001;24.1259
ITAIPU;2022-01-05;2229.7705039999996;66.3211;2229.7705039999996;66.3211
MADEIRA;2022-01-05;7287.722;88.9833;7175.605;87.6144
MANAUS-AMAPA;2022-01-05;1074.666;218.3944;609.505;123.864
NORDESTE;2022-01-05;16307.494999999999;120.6922;15235.202999999998;112.7561
NORTE;2022-01-05;21274.156;224.5693;14729.472;155.4838
PARANA;2022-01-05;29115.943059999994;78.7801;29091.146060000003;78.713
PARANAPANEMA;2022-01-05;1264.5354360000001;34.6293;1254.822436;34.3633
SUDESTE;2022-01-05;22812.145999999997;221.514;17285.197;167.8454
SUL;2022-01-05;1068.951;31.8052;910.9799999999998;27.105
TELES PIRES;2022-01-05;4931.316000000001;147.5258;3698.8360000000002;110.6548
BELO MONTE;2022-01-06;11564.221;205.4306;11229.368;199.4822
IGUACU;2022-01-06;1022.5029999999999;24.8484;984.4499999999999;23.9237
ITAIPU;2022-01-06;2297.401392;68.3327;2297.401392;68.3327
MADEIRA;2022-01-06;7063.782;86.249;6989.9259999999995;85.3472
MANAUS-AMAPA;2022-01-06;1229.227;249.8044;595.146;120.946
NORDESTE;2022-01-06;16693.526;123.5492;15695.231000000002;116.1608
NORTE;2022-01-06;21858.314000000002;230.7356;14680.057;154.9622
PARANA;2022-01-06;30809.012432;83.3611;30790.07943200001;83.3099
PARANAPANEMA;2022-01-06;1387.346176;37.9925;1387.346176;37.9925
