nom_reservatorioee;ena_data;ena_bruta_ree_mwmed;ena_bruta_ree_percentualmlt;ena_armazenavel_ree_mwmed;ena_armazenavel_ree_percentualmlt
IGUACU;2023-01-07;4496.955;108.6026;3536.5559999999996;85.4087
ITAIPU;2023-01-07;4182.748128;123.543;4182.748128;123.543
MADEIRA;2023-01-07;5916.802000000001;72.271;4671.578;57.0612
MANAUS-AMAPA;2023-01-07;1006.768;202.9564;839.974;169.3321
NORDESTE;2023-01-07;13847.547999999999;103.1052;13468.804;100.2852
NORTE;2023-01-07;11541.207;122.5529;11541.207;122.5529
PARANA;2023-01-07;41710.791355999994;113.2884;39974.67535599999;108.573
PARANAPANEMA;2023-01-07;3383.0155160000004;92.9363;3301.504516;90.6971
SUDESTE;2023-01-07;12842.904999999999;125.3468;10921.213;106.5911
SUL;2023-01-07;1843.305;53.2886;1561.511;45.1421
TELES PIRES;2023-01-07;3227.6150000000002;97.0281;2909.212;87.4563
BELO MONTE;2023-01-08;7799.0779999999995;139.1386;7751.065;138.282
IGUACU;2023-01-08;4207.933;101.6226;1960.1390000000001;47.3379
ITAIPU;2023-01-08;3944.431712;116.504;3944.431712;116.504
MADEIRA;2023-01-08;6135.21;74.9388;4855.8550000000005;59.312
MANAUS-AMAPA;2023-01-08;959.906;193.5094;605.739;122.1122
NORDESTE;2023-01-08;13962.931;103.9643;13594.708999999999;101.2226
NORTE;2023-01-08;11405.846000000001;121.1155;10746.471000000001;114.1138
PARANA;2023-01-08;45422.51842000001;123.3696;43828.328420000005;119.0397
PARANAPANEMA;2023-01-08;3423.7038679999996;94.0541;3337.4178679999995;91.6837
SUDESTE;2023-01-08;14478.415;141.3094;10711.555999999999;104.5448
SUL;2023-01-08;1662.75;48.0689;1369.09;39.5794
TELES PIRES;2023-01-08;3256.0;97.8814;2905.826;87.3545
BELO MONTE;2023-01-09;7844.879;139.9557;7723.812;137.7958
IGUACU;2023-01-09;4013.888;96.9364;3900.495;94.1979
ITAIPU;2023-01-09;3739.920496;110.4635;3739.920496;110.4635
MADEIRA;2023-01-09;6310.685;77.0821;3704.268;45.2459
MANAUS-AMAPA;2023-01-09;905.1000000000001;182.4609;678.455;136.7711
NORDESTE;2023-01-09;14067.851999999999;104.7455;13018.455000000002;96.932
NORTE;2023-01-09;11317.853000000001;120.1812;10706.586000000001;113.6903
PARANA;2023-01-09;50565.454396000016;137.338;48876.48639600002;132.7507
PARANAPANEMA;2023-01-09;3278.5581079999997;90.0667;3245.7071079999996;89.1642
SUDESTE;2023-01-09;15864.617000000002;154.8387;10798.908;105.3974
SUL;2023-01-09;1544.2069999999999;44.6419;1279.609;36.9925
TELES PIRES;2023-01-09;3230.838;97.125;2564.0420000000004;77.0798
BELO MONTE;2023-01-10;7857.576;140.1822;7736.418;138.0207
IGUACU;2023-01-10;3877.708;93.6476;3877.708;93.6476
ITAIPU;2023-01-10;3605.242628;106.4856;3605.242628;106.4856
MADEIRA;2023-01-10;6419.02;78.4054;3199.579;39.0814
MANAUS-AMAPA;2023-01-10;876.344;176.664;776.6150000000001;156.5594
NORDESTE;2023-01-10;14141.058;105.2906;12249.919;91.2097
NORTE;2023-01-10;11248.241;119.442;11045.47;117.2888
PARANA;2023-01-10;55289.235744000005;150.168;53290.939743999996;144.7406
PARANAPANEMA;2023-01-10;3113.4496280000003;85.5309;3080.2086280000003;84.6178
SUDESTE;2023-01-10;16707.803000000004;163.0682;11657.471000000003;113.7769
SUL;2023-01-10;1377.149;39.8124;1192.6430000000003;34.4784
TELES PIRES;2023-01-10;3236.858;97.3059;3184.1849999999995;95.7225
BELO MONTE;2023-01-11;7894.861999999999;140.8474;7781.585999999999;138.8265
IGUACU;2023-01-11;3775.4590000000003;91.1783;3775.4590000000003;91.1783
ITAIPU;2023-01-11;3659.6280239999996;108.0919;3659.6280239999996;108.0919
MADEIRA;2023-01-11;6384.759;77.9869;4497.346;54.933
MANAUS-AMAPA;2023-01-11;837.26;168.7849;750.403;151.2753
NORDESTE;2023-01-11;13896.559000000001;103.4701;11144.502;82.979
NORTE;2023-01-11;11224.159;119.1862;10931.08;116.0741
PARANA;2023-01-11;57322.938140000006;155.6917;54847.57714000002;148.9685
PARANAPANEMA;2023-01-11;3002.950836;82.4954;2996.618836;82.3214
SUDESTE;2023-01-11;16509.262000000002;161.1304;10831.17;105.7122
SUL;2023-01-11;1379.1680000000001;39.8707;1233.113;35.6484
TELES PIRES;2023-01-11;3303.531;99.3102;3274.042;98.4238
BELO MONTE;2023-01-12;7864.691;140.3091;7774.906999999999;138.7074
IGUACU;2023-01-12;3750.341;90.5717;3750.3409999999994;90.5717
ITAIPU;2023-01-12;3663.4592799999996;108.2051;3663.4592799999996;108.2051
MADEIRA;2023-01-12;6179.913;75.4848;4818.619000000001;58.8572
MANAUS-AMAPA;2023-01-12;791.0629999999999;159.472;712.9749999999999;143.7301
NORDESTE;2023-01-12;13585.295;101.1525;10289.228000000001;76.6109
NORTE;2023-01-12;11219.946;119.1415;11190.405999999999;118.8278
PARANA;2023-01-12;58094.350635999996;157.7868;55547.755635999994;150.8702
PARANAPANEMA;2023-01-12;2837.190084;77.9417;2837.190084;77.9417
SUDESTE;2023-01-12;15730.732999999997;153.532;11198.007999999998;109.2926
SUL;2023-01-12;1457.672;42.1402;1219.241;35.2474
TELES PIRES;2023-01-12;3449.352;103.6939;3398.2320000000004;102.1571
BELO MONTE;2023-01-13;7845.701999999999;139.9704;7787.436;138.9309
IGUACU;2023-01-13;3717.5899999999997;89.7807;3717.59;89.7807
ITAIPU;2023-01-13;3780.8043;111.671;3780.8043;111.671
MADEIRA;2023-01-13;5939.495999999999;72.5482;5217.811999999999;63.7332
MANAUS-AMAPA;2023-01-13;743.4580000000001;149.8752;598.407;120.6341
NORDESTE;2023-01-13;13550.488;100.8934;9737.68;72.5042
NORTE;2023-01-13;11192.999;118.8554;11192.999;118.8554
PARANA;2023-01-13;58492.102648;158.8672;54677.60564800001;148.5068
PARANAPANEMA;2023-01-13;2808.895052;77.1644;2808.895052;77.1644
SUDESTE;2023-01-13;14431.618000000002;140.8526;10091.292999999998;98.491
SUL;2023-01-13;1580.0969999999998;45.6794;1251.8790000000001;36.1909
TELES PIRES;2023-01-13;3595.042;108.0736;3361.384;101.0494
BELO MONTE;2023-01-14;7890.7;140.7732;7844.4130000000005;139.9474
IGUACU;2023-01-14;3723.3619999999996;89.9201;3573.4129999999996;86.2988
ITAIPU;2023-01-14;3862.70508;114.0901;2750.2066800000002;81.231
MADEIRA;2023-01-14;5702.377999999999;69.6519;4969.1230000000005;60.6956
MANAUS-AMAPA;2023-01-14;713.481;143.8321;628.87;126.7752
NORDESTE;2023-01-14;13552.551000000003;100.9087;9603.11;71.5022
NORTE;2023-01-14;11178.202000000001;118.6982;10904.535;115.7922
PARANA;2023-01-14;59811.86380400002;162.4517;55226.00760400001;149.9963
PARANAPANEMA;2023-01-14;2829.1891160000005;77.7219;1716.6907160000003;47.16
