id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
NE;Nordeste;2001-09-30;4753.09473611
S;Sul;2001-09-30;6430.78680556
SE;Sudeste/Centro-Oeste;2001-09-30;20646.84029167
N;Norte;2001-10-31;2095.13995968
NE;Nordeste;2001-10-31;4888.57293011
S;Sul;2001-10-31;6615.64412634
SE;Sudeste/Centro-Oeste;2001-10-31;20952.31772715
N;Norte;2001-11-30;2058.80733333
NE;Nordeste;2001-11-30;4961.08752778
S;Sul;2001-11-30;6753.23633333
SE;Sudeste/Centro-Oeste;2001-11-30;21504.02511111
N;Norte;2001-12-31;2027.05766129
NE;Nordeste;2001-12-31;4981.31813172
S;Sul;2001-12-31;6604.43801075
SE;Sudeste/Centro-Oeste;2001-12-31;21349.00794355
N;Norte;2002-01-31;2169.83467742
NE;Nordeste;2002-01-31;4918.06663978
S;Sul;2002-01-31;6691.20560476
SE;Sudeste/Centro-Oeste;2002-01-31;22719.87901889
N;Norte;2002-02-28;2179.53020833
NE;Nordeste;2002-02-28;5247.67956845
S;Sul;2002-02-28;6813.44180107
SE;Sudeste/Centro-Oeste;2002-02-28;23452.70220191
N;Norte;2002-03-31;2306.49932796
NE;Nordeste;2002-03-31;5378.06142473
S;Sul;2002-03-31;7129.67801090
SE;Sudeste/Centro-Oeste;2002-03-31;25133.20122297
N;Norte;2002-04-30;2495.56513889
NE;Nordeste;2002-04-30;5567.26771250
S;Sul;2002-04-30;6905.07129149
SE;Sudeste/Centro-Oeste;2002-04-30;25772.85000018
N;Norte;2002-05-31;2282.07983871
NE;Nordeste;2002-05-31;5512.95323522
S;Sul;2002-05-31;6579.32120976
SE;Sudeste/Centro-Oeste;2002-05-31;24774.47123648
N;Norte;2002-06-30;2297.15750000
NE;Nordeste;2002-06-30;5424.85994178
S;Sul;2002-06-30;6527.41726437
SE;Sudeste/Centro-Oeste;2002-06-30;24626.89848563
N;Norte;2002-07-31;2369.90497312
NE;Nordeste;2002-07-31;5557.56037634
S;Sul;2002-07-31;6502.23667174
SE;Sudeste/Centro-Oeste;2002-07-31;24237.84665085
N;Norte;2002-08-31;2439.60900538
NE;Nordeste;2002-08-31;5667.05087366
S;Sul;2002-08-31;6567.43080619
SE;Sudeste/Centro-Oeste;2002-08-31;25149.89240725
N;Norte;2002-09-30;2347.17861111
NE;Nordeste;2002-09-30;5847.86726389
S;Sul;2002-09-30;6394.49859691
SE;Sudeste/Centro-Oeste;2002-09-30;24970.46791698
N;Norte;2002-10-31;2267.89946237
NE;Nordeste;2002-10-31;6085.97983719
S;Sul;2002-10-31;6806.03616927
SE;Sudeste/Centro-Oeste;2002-10-31;27126.00813181
N;Norte;2002-11-30;2313.47527778
NE;Nordeste;2002-11-30;6180.76838889
S;Sul;2002-11-30;6741.83263847
SE;Sudeste/Centro-Oeste;2002-11-30;26383.89659765
N;Norte;2002-12-31;2588.39018817
NE;Nordeste;2002-12-31;6100.10755376
S;Sul;2002-12-31;6650.01133095
SE;Sudeste/Centro-Oeste;2002-12-31;25636.16088679
N;Norte;2003-01-31;2611.26397849
NE;Nordeste;2003-01-31;6152.36784946
S;Sul;2003-01-31;7029.96420766
SE;Sudeste/Centro-Oeste;2003-01-31;25693.74368213
N;Norte;2003-02-28;2682.50654762
NE;Nordeste;2003-02-28;5958.59677083
S;Sul;2003-02-28;7360.90284176
SE;Sudeste/Centro-Oeste;2003-02-28;27507.62498562
N;Norte;2003-03-31;2712.74206989
NE;Nordeste;2003-03-31;5833.33829301
S;Sul;2003-03-31;7080.42807780
SE;Sudeste/Centro-Oeste;2003-03-31;26389.86064531
N;Norte;2003-04-30;2774.44716667
NE;Nordeste;2003-04-30;5987.99348611
S;Sul;2003-04-30;6804.04554153
SE;Sudeste/Centro-Oeste;2003-04-30;26235.74610292
N;Norte;2003-05-31;2846.96680108
NE;Nordeste;2003-05-31;5919.62044355
S;Sul;2003-05-31;6597.38999043
SE;Sudeste/Centro-Oeste;2003-05-31;25354.74973135
N;Norte;2003-06-30;2862.79250000
NE;Nordeste;2003-06-30;5734.50225972
S;Sul;2003-06-30;6572.19553016
SE;Sudeste/Centro-Oeste;2003-06-30;25326.08679207
N;Norte;2003-07-31;2745.87197581
NE;Nordeste;2003-07-31;5783.52776882
S;Sul;2003-07-31;6656.89513437
SE;Sudeste/Centro-Oeste;2003-07-31;25308.79012101
N;Norte;2003-08-31;2610.08233871
NE;Nordeste;2003-08-31;5922.72654570
S;Sul;2003-08-31;6566.81908592
SE;Sudeste/Centro-Oeste;2003-08-31;25465.21360225
N;Norte;2003-09-30;2666.06723611
NE;Nordeste;2003-09-30;6153.35251389
S;Sul;2003-09-30;6773.09297259
SE;Sudeste/Centro-Oeste;2003-09-30;26242.62583297
N;Norte;2003-10-31;2683.47912634
NE;Nordeste;2003-10-31;6325.03022849
S;Sul;2003-10-31;6876.26409955
SE;Sudeste/Centro-Oeste;2003-10-31;26829.76115583
N;Norte;2003-11-30;2872.80090278
NE;Nordeste;2003-11-30;6312.73034722
S;Sul;2003-11-30;6945.77158373
SE;Sudeste/Centro-Oeste;2003-11-30;26804.53481211
N;Norte;2003-12-31;2829.30221774
NE;Nordeste;2003-12-31;6388.41694892
S;Sul;2003-12-31;6831.29106176
SE;Sudeste/Centro-Oeste;2003-12-31;26662.93697588
N;Norte;2004-01-31;2866.96801075
NE;Nordeste;2004-01-31;5975.13640860
S;Sul;2004-01-31;7205.91853547
SE;Sudeste/Centro-Oeste;2004-01-31;26275.93167958
N;Norte;2004-02-29;2846.25704023
NE;Nordeste;2004-02-29;5939.70156609
S;Sul;2004-02-29;7395.32780161
SE;Sudeste/Centro-Oeste;2004-02-29;26801.95109207
N;Norte;2004-03-31;2922.58400538
NE;Nordeste;2004-03-31;6199.61946237
S;Sul;2004-03-31;7639.80193573
SE;Sudeste/Centro-Oeste;2004-03-31;27520.84330676
N;Norte;2004-04-30;2924.74069444
NE;Nordeste;2004-04-30;6209.76804167
S;Sul;2004-04-30;7421.00154118
SE;Sudeste/Centro-Oeste;2004-04-30;27323.33718104
N;Norte;2004-05-31;2988.82715054
NE;Nordeste;2004-05-31;6168.84356183
S;Sul;2004-05-31;6961.25365605
SE;Sudeste/Centro-Oeste;2004-05-31;26606.29612890
N;Norte;2004-06-30;2997.59972222
NE;Nordeste;2004-06-30;5999.99530556
S;Sul;2004-06-30;7053.37686169
SE;Sudeste/Centro-Oeste;2004-06-30;26579.44844942
N;Norte;2004-07-31;2991.48131720
NE;Nordeste;2004-07-31;6037.20327957
S;Sul;2004-07-31;7071.69599470
SE;Sudeste/Centro-Oeste;2004-07-31;26657.82241229
N;Norte;2004-08-31;3014.82056452
NE;Nordeste;2004-08-31;6221.52272849
S;Sul;2004-08-31;7112.18946233
SE;Sudeste/Centro-Oeste;2004-08-31;27178.62867073
N;Norte;2004-09-30;3042.84194444
NE;Nordeste;2004-09-30;6442.20233333
S;Sul;2004-09-30;7229.75213870
SE;Sudeste/Centro-Oeste;2004-09-30;28426.38831408
N;Norte;2004-10-31;3033.28682796
NE;Nordeste;2004-10-31;6598.93162634
S;Sul;2004-10-31;7058.34776842
SE;Sudeste/Centro-Oeste;2004-10-31;27771.49564556
N;Norte;2004-11-30;3022.34955556
NE;Nordeste;2004-11-30;6695.90154167
S;Sul;2004-11-30;7241.64043084
SE;Sudeste/Centro-Oeste;2004-11-30;28156.10778028
N;Norte;2004-12-31;3022.02110215
NE;Nordeste;2004-12-31;6734.77784946
S;Sul;2004-12-31;7451.36658613
SE;Sudeste/Centro-Oeste;2004-12-31;27695.44342731
N;Norte;2005-01-31;2982.24973118
NE;Nordeste;2005-01-31;6701.01983871
S;Sul;2005-01-31;7812.90592756
SE;Sudeste/Centro-Oeste;2005-01-31;27829.38264771
N;Norte;2005-02-28;2991.04523810
NE;Nordeste;2005-02-28;6666.21556548
S;Sul;2005-02-28;8037.17468726
SE;Sudeste/Centro-Oeste;2005-02-28;28324.55217286
N;Norte;2005-03-31;3041.24119624
NE;Nordeste;2005-03-31;6774.05286290
S;Sul;2005-03-31;8175.20657197
SE;Sudeste/Centro-Oeste;2005-03-31;29329.88920760
N;Norte;2005-04-30;3043.09543056
NE;Nordeste;2005-04-30;6731.55873611
S;Sul;2005-04-30;7701.98627789
SE;Sudeste/Centro-Oeste;2005-04-30;29611.05501377
N;Norte;2005-05-31;3112.12998656
NE;Nordeste;2005-05-31;6551.29286290
S;Sul;2005-05-31;7313.97517425
SE;Sudeste/Centro-Oeste;2005-05-31;27852.86724511
N;Norte;2005-06-30;3126.65827778
NE;Nordeste;2005-06-30;6391.42600000
S;Sul;2005-06-30;7396.14643060
SE;Sudeste/Centro-Oeste;2005-06-30;27921.09989718
N;Norte;2005-07-31;3026.74646505
NE;Nordeste;2005-07-31;6409.12744624
S;Sul;2005-07-31;7124.24268819
SE;Sudeste/Centro-Oeste;2005-07-31;27217.23512095
N;Norte;2005-08-31;3134.20670699
NE;Nordeste;2005-08-31;6571.48909946
S;Sul;2005-08-31;7288.74893676
SE;Sudeste/Centro-Oeste;2005-08-31;28499.19848932
N;Norte;2005-09-30;3169.67902778
NE;Nordeste;2005-09-30;6797.34518056
S;Sul;2005-09-30;7199.52711389
SE;Sudeste/Centro-Oeste;2005-09-30;28242.86740972
N;Norte;2005-10-31;3160.95269892
NE;Nordeste;2005-10-31;6885.06069220
S;Sul;2005-10-31;7321.89803091
SE;Sudeste/Centro-Oeste;2005-10-31;28991.80100000
N;Norte;2005-11-30;3207.02204306
NE;Nordeste;2005-11-30;6968.12548333
S;Sul;2005-11-30;7615.22580556
SE;Sudeste/Centro-Oeste;2005-11-30;28312.46225833
N;Norte;2005-12-31;3215.38599462
NE;Nordeste;2005-12-31;6884.55065860
S;Sul;2005-12-31;7724.79459677
SE;Sudeste/Centro-Oeste;2005-12-31;28163.79838172
N;Norte;2006-01-31;3241.99775538
NE;Nordeste;2006-01-31;6932.53110215
S;Sul;2006-01-31;8115.45401882
SE;Sudeste/Centro-Oeste;2006-01-31;29410.09740591
N;Norte;2006-02-28;3285.10589286
NE;Nordeste;2006-02-28;7020.88270833
S;Sul;2006-02-28;8280.37275298
SE;Sudeste/Centro-Oeste;2006-02-28;30149.90831548
